S.NO.,TEST CODE,INVESTIGETATION,SAMPLE TYPE,TEMPERATURE,SPECIAL INSTRUCTION FOR SAMPLE COLLECTION,METHOD,CUT OFF TIME,REPORTED ON,NET,MRP,NET % OF MRP
117,S076,ANTI SS-B ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme Immunoassay (EIA),4.30 PM,Next day Evening Except Sunday,750,1650,45.5%
118,C228,ANTI STREPTOLYSIN O (ASO) - QUALITATIVE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Slide Agglutination,4.30 PM,2nd Working Day,230,500,46.0%
119,C038,ANTI STREPTOLYSIN O (ASO) TITRE - QUANTITATIVE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Immunoturbidi metry,4.30 PM,2nd Working Day,280,600,46.7%
120,H013,ANTI THROMBIN III,"For PPP sample: 4 ml. (3 ml. Minimum) PPP
(Platelet Poor Plasma) from 2 Sodium Citrate tubes prepared within 1 hr of collection.
Aliquot PPP in 2 transport vials and FREEZE.",Refrigerated(2-8°C),,Turbidometry,4.30 PM,Next day Evening Except Sunday,1600,2850,56.1%
121,AB031,ANTI THYROGLOBULIN (ATG),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,575,1450,39.7%
122,AB032,ANTI TPO (THYROID PEROXIDASE) ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,575,1450,39.7%
123,C1260,ANTI-MUSCLE SPECIFIC KINASE ANTIBODY(MUSK Ab)-MYASTHENIA GRAVIS,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,RIA,4.30 PM,3rd Working Day,5250,7500,70.0%
124,C033,APOLIPOPROTEIN A1 (APO-A1),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Overnight fasting
(10-12 Hrs) is preferred.",Nephelometry,4.30 PM,Same Day,280,700,40.0%
125,C034,APOLIPOPROTEIN B (APO-B),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Overnight fasting
(10-12 Hrs) is preferred.",Nephelometry,4.30 PM,Same Day,280,700,40.0%
126,C035,ARSENIC - BLOOD,2ml.(1ml. Minimum)WB-EDTA / WB-HEPARIN,Refrigerated(2-8°C),,ICP-OES,4.30 PM,3rd Working Day,1850,2850,64.9%
127,C036,ARSENIC - URINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,ICP-OES,4.30 PM,3rd Working Day,1850,2850,64.9%
128,C1311,ARTHRITIS (BONE PROFILE WITH RA - FACTOR),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Specify age and sex ontest requisition form.,Nephelometry,5.30 PM,Same Day,480,1050,45.7%
129,S019,ASMA (ANTI SMOOTH MUSCLE ANTIBODY),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Immunofluores cence-Microscopy IFA,4.30 PM,2nd Working Day,950,2050,46.3%
130,S018,ASMA (ANTI SMOOTH MUSCLE ANTIBODY) TITRE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"IFA
(Immunofluore scenceAssay)",4.30 PM,2nd Working Day,1850,2850,64.9%
131,S200,ASPERGILLUS IGE ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,1050,2050,51.2%
132,S100,ASPERGILLUS IGG ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,1050,2050,51.2%
133,S119,ASPERGILLUS IGM ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,1050,2050,51.2%
134,M011,AURAMINE RHODAMINE STAIN,"2 ml. (1 ml. Minimum)sputum sample  in a sterile, leak - proof screw capped, plastic container.",AMBIENT (18-25° C),Send Sample In Sterile Container,Light Microscopy,4.30 PM,Next day Evening Except Sunday,115,250,46.0%
135,P023,BCR-ABL (CML) QUANTITATIVE,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Transcript/Real Time PCR,4.30 PM,3rd Working Day,3550,5550,64.0%
136,R200,BCR-ABL FUSION TRANSCRIPT(IS),3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Transcript/Real Time PCR,4.30 PM,3rd Working Day,3550,5550,64.0%
137,R006,BCR-ABL GENE TRANSLOCATION BY FISH,Bone Marrow,Refrigerated(2-8°C),,FISH,4.30 PM,5th Working Day,3350,5050,66.3%
138,P196,BCR-ABL MULTIPLEX FOR DETECTION OF TRANSCRIPT,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Transcript/Real Time PCR,4.30 PM,5th Working Day,3750,5850,64.1%
139,P035,BCR-ABL QUALITATIVE,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Real Time PCR,4.30 PM,3rd Working Day,3250,4850,67.0%
140,C039,BENCE JONES PROTEIN - URINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,Chemical Method,4.30 PM,Same Day,230,550,41.8%
141,C216,BENZODIAZEPINES,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",4.30 PM,Next day Evening Except Sunday,600,1050,57.1%
142,C282,BETA 2 GLYCOPROTEIN-1 ANTIBODY IGG,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,850,1650,51.5%
143,C283,BETA 2 GLYCOPROTEIN-1 ANTIBODY IGM,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,850,1650,51.5%
144,C040,BETA 2 MICROGLOBULIN - Serum,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Electrochemilu minescence,4.30 PM,Next day Evening Except Sunday,800,1650,48.5%
145,C640,BETA 2 MICROGLOBULIN - URINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,"Chemiluminesc
ence Immunoassay (CLIA)",4.30 PM,Next day Evening Except Sunday,800,1550,51.6%
146,C259,BETA HCG-TITRE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Date Of Birth And LMP Required,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,400,850,47.1%
147,C041,BETA HUMAN CHORIONIC GONODOTROPIN (SERUM BETA HCG),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Date Of Birth And LMP Required,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,200,600,33.3%
148,C042,BETA-HCG - TOTAL QUANTITATIVE (RANDOM URINE),"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),"Do Not Freeze, Date Of Birth And LMP Required","Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,200,600,33.3%
149,C044,BICARBONATE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Spectrophotom etry,4.30 PM,Same Day,450,850,52.9%
150,C006,BILE ACIDS - TOTAL,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Spectrophotom etry,4.30 PM,Same Day,1350,2450,55.1%
151,C045,BILIRUBIN - DIRECT,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Warp tube in Aluminium foil to protect from light,Colorimetric diazomethod,5.30 PM,Same Day,60,150,40.0%
152,C238,BILIRUBIN - INDIRECT,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Warp tube in Aluminium foil to protect from light,Colorimetric diazomethod,5.30 PM,Same Day,115,250,46.0%
153,C047,"BILIRUBIN - TOTAL, DIRECT & INDIRECT",2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Warp tube in Aluminium foil to protect from light,Colorimetric diazomethod,5.30 PM,Same Day,150,350,42.9%
154,C046,BILIRUBIN -TOTAL,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Warp tube in Aluminium foil to protect from light,Colorimetric diazomethod,5.30 PM,Same Day,60,150,40.0%
155,A082,BIOPSY-  MEDIUM SPECIMEN  (> 2 CM & UPTO 5 CM),BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,250,550,45.5%
156,A082-A,BIOPSY-  MEDIUM SPECIMEN  (> 2 CM & UPTO 5 CM)- A,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,300,650,46.2%
157,A082-B,BIOPSY-  MEDIUM SPECIMEN  (> 2 CM & UPTO 5 CM)-B,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,400,850,47.1%
158,A082-C,BIOPSY-  MEDIUM SPECIMEN  (> 2 CM & UPTO 5 CM)- C,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,500,1050,47.6%
159,A082-D,BIOPSY-  MEDIUM SPECIMEN  (> 2 CM & UPTO 5 CM)- D,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,800,1650,48.5%
160,A085,BIOPSY- CANCER SPECIMEN,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,900,1850,48.6%
161,A085-A,BIOPSY- CANCER SPECIMEN- A,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,1200,2450,49.0%
162,A085-B,BIOPSY- CANCER SPECIMEN- B,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,1500,3050,49.2%
163,A085-C,BIOPSY- CANCER SPECIMEN- C,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,2000,4050,49.4%
164,A085-D,BIOPSY- CANCER SPECIMEN- D,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,2500,5050,49.5%
165,A022,BIOPSY- EXTRA LARGE SPECIMEN,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,2000,4050,49.4%
166,A022-A,BIOPSY- EXTRA LARGE SPECIMEN (A),BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,2500,5050,49.5%
167,A022-B,BIOPSY- EXTRA LARGE SPECIMEN (B),BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,3000,6050,49.6%
168,A022-C,BIOPSY- EXTRA LARGE SPECIMEN (C)-,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,3500,7050,49.6%
169,A022-D,BIOPSY- EXTRA LARGE SPECIMEN (D)-4000,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,4000,8050,49.7%
170,A070,BIOPSY- KIDNEY,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,1150,2350,48.9%
171,A070-A,BIOPSY- KIDNEY-A,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,1200,2450,49.0%
172,A070-B,BIOPSY- KIDNEY-B,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,1500,3050,49.2%
173,A070-C,BIOPSY- KIDNEY-C,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,1800,3650,49.3%
174,A070-D,BIOPSY- KIDNEY-D,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,2000,4050,49.4%
175,A005,BIOPSY- LARGE SPECIMEN (> 5CM),BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,600,1250,48.0%
176,A005-A,BIOPSY- LARGE SPECIMEN (> 5CM)-A,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,700,1450,48.3%
177,A005-B,BIOPSY- LARGE SPECIMEN (> 5CM)-B,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,800,1650,48.5%
178,A005-C,BIOPSY- LARGE SPECIMEN (> 5CM)-C,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,1000,2050,48.8%
179,A005-D,BIOPSY- LARGE SPECIMEN (> 5CM)-D,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,1200,2450,49.0%
180,A079,BIOPSY- SMALL SPECIMEN (< 2 CM),BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,200,450,44.4%
181,A079-A,BIOPSY- SMALL SPECIMEN (< 2 CM)-A,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,250,550,45.5%
182,A079-B,BIOPSY- SMALL SPECIMEN (< 2 CM)-B,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,300,650,46.2%
183,A079-C,BIOPSY- SMALL SPECIMEN (< 2 CM)-C,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,400,950,42.1%
184,A079-D,BIOPSY- SMALL SPECIMEN (< 2 CM)-D,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,500,1050,47.6%
185,A009,BIOPSY- UTERUS,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,400,850,47.1%
186,A009-A,BIOPSY- UTERUS -A,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,500,1050,47.6%
187,A009-B,BIOPSY- UTERUS -B,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,650,1450,44.8%
188,A009-C,BIOPSY- UTERUS -C,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,800,1650,48.5%
189,A009-D,BIOPSY- UTERUS -D,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,1000,2050,48.8%
190,A008,BIOPSY-BONE,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,350,750,46.7%
191,A008-A,BIOPSY-BONE- A,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,500,1050,47.6%
192,A008-B,BIOPSY-BONE- B,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,650,1450,44.8%
193,A008-C,BIOPSY-BONE- C,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,800,1650,48.5%
194,A008-D,BIOPSY-BONE- D,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,1000,2050,48.8%
195,A071,BLOCKS (SINGLE BLOCK),Block(s),AMBIENT (18-25° C),"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,200,500,40.0%
196,A071-A,BLOCKS RETURN (2 to 5)- A,Block(s),AMBIENT (18-25° C),"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,250,550,45.5%
197,A071-B,BLOCKS RETURN (5 to 10)- B,Block(s),AMBIENT (18-25° C),"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,400,850,47.1%
198,A071-C,BLOCKS RETURN ( (MORE THAN 10)- C,Block(s),AMBIENT (18-25° C),"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,6th Working Day,600,1250,48.0%
199,A020,BLOCKS/SLIDE FOR SECOND OPINION,Block(s),AMBIENT (18-25° C),"Brief clinical history
mandatory.Price will be applicable as per no. of slides/blocks",HPE,4.30 PM,3rd Working Day,350,800,43.8%
200,P204,BK POLIOMA VIRUS DNA BY REAL TIME PCR (PLASMA),3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Real Time PCR,4.30 PM,3rd Working Day,3100,5250,59.0%
201,H103,BLOOD (PNH) MARKER : CD 59,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),,Multiplesx RT PCR,4.30 PM,2nd Working Day,1050,1550,67.7%
202,C186,BLOOD GLUCOSE - URINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),DO NOT FREEZE,Reagent strip,5.30 PM,Same Day,35,100,35.0%
203,C101,BLOOD GLUCOSE FASTING,2 ml. (1 ml. Minimum)Plasma from 1 Sodium Fluoride tube.,Refrigerated(2-8°C),"Overnight fasting
(10-12 Hrs) is preferred.",Hexokinase,5.30 PM,Same Day,35,100,35.0%
204,C187,BLOOD GLUCOSE POST LUNCH - URINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,Reagent strip,5.30 PM,Same Day,35,100,35.0%
205,C103,BLOOD GLUCOSE PP,2 ml. (1 ml. Minimum)Plasma from 1 Sodium Fluoride tube.,Refrigerated(2-8°C),,Hexokinase,5.30 PM,Same Day,35,100,35.0%
206,C102,BLOOD GLUCOSE RANDOM,2 ml. (1 ml. Minimum)Plasma from 1 Sodium Fluoride tube.,Refrigerated(2-8°C),,Hexokinase,5.30 PM,Same Day,35,100,35.0%
207,H015,BLOOD GROUP (ABO & Rh TYPING),3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),Do Not Freeze,Latex Agglutination,5.30 PM,Same Day,45,100,45.0%
208,H016,BLOOD PICTURE - PERIPHERAL SMEAR EXAMINATION (P/S),3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Light Microscopy,4.30 PM,Same Day,100,300,33.3%
209,C1299,"BLOOD SUGAR 1,h (o-gtt, 1,h)",2 ml. (1 ml. Minimum)Plasma from 1 Sodium Fluoride tube.,Refrigerated(2-8°C),,Hexokinase,5.30 PM,Same Day,60,150,40.0%
210,C1300,"BLOOD SUGAR 2,h (o-gtt, 2,h)",2 ml. (1 ml. Minimum)Plasma from 1 Sodium Fluoride tube.,Refrigerated(2-8°C),,Hexokinase,5.30 PM,Same Day,60,150,40.0%
211,C1301,"BLOOD SUGAR 3,h (o-gtt, 3,h)",2 ml. (1 ml. Minimum)Plasma from 1 Sodium Fluoride tube.,Refrigerated(2-8°C),,Hexokinase,5.30 PM,Same Day,60,150,40.0%
212,C048,BLOOD UREA NITROGEN (BUN),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Spectrophotom etry,5.30 PM,Same Day,60,150,40.0%
213,H017,BONE MARROW SMEAR MICROSCOPY EXAMINATION,Bone Marrow 2ml. (1ml. Minimum) EDTA,Refrigerated(2-8°C),Brief clinical history mandatory,Light Microscopy,4.30 PM,Next day Evening Except Sunday,175,450,38.9%
214,S021,BRUCELLA IgG & IgM AGGLUTINATION TEST - INFECTIOUS DISEASES,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,1500,3250,46.2%
215,S022,BRUCELLA IGG ANTIBODIES - INFECTIOUS DISEASES,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,850,1850,45.9%
216,S023,BRUCELLA IGM ANTIBODIES - INFECTIOUS DISEASES,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,850,1850,45.9%
217,P021,"BRUCELLA, DNA PCR - QUALITATIVE","2 ml. (1 ml. Minimum) Whole blood (EDTA ), Plasma or Serum",Refrigerated(2-8°C),,Multiplesx RT PCR,4.30 PM,Next day Evening Except Sunday,2050,4050,50.6%
218,A087,BUCCAL SMEAR FOR BARR BODIES (SEX CHROMATIN),Smear,AMBIENT (18-25° C),Brief clinical history mandatory,Microscopy,5.30 PM,Same Day,280,650,43.1%
219,A107,BUCCAL SMEAR FOR CYTOLOGY,Swab,Refrigerated(2-8°C),Brief clinical history mandatory,Light Microscopy,4.30 PM,Next day Evening Except Sunday,200,450,44.4%
220,C1237,BUN/CREATININE RATIO,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Calculated
Spectro-photometry Jaffe Kinetic",5.30 PM,Same Day,175,400,43.8%
221,IH001,"C1 ESTERASE INHIBITOR, SERUM BY NEPHELOMETRY",2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,,4.30 PM,Next day Evening Except Sunday,2850,4150,68.7%
222,C069,C3 COMPLEMENT COMPONENT,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Overnight fasting ispreferred. Separate Serum within 1 hour
ofcollection",Immunoturbidi metry,4.30 PM,Same Day,230,650,35.4%
223,C070,C4 COMPLEMENT COMPONENT,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Overnight fasting
(10-12 Hrs) is preferred. Separate
Serum within 1 hour",Immunoturbidi metry,4.30 PM,Same Day,230,650,35.4%
224,C138,CA 72.4 (GASTRIC CANCER) - CANCER MARKERS,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Brief clinical history mandatory,Electrochemilu minescence/ELI SA,4.30 PM,Next day Evening Except Sunday,1350,2550,52.9%
225,C049,CA125,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,280,850,32.9%
226,C050,CA15.3 (BREAST CANCER) - CANCER MARKERS,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Brief clinical history mandatory,"Chemiluminesc
ence Immunoassay (CLIA)",4.30 PM,Next day Evening Except Sunday,575,1450,39.7%
227,C051,CA19.9 (PANCREATIC CANCER) - CANCER MARKERS,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Brief clinical history mandatory,"Chemiluminesc
ence Immunoassay (CLIA)/ELISA",4.30 PM,Next day Evening Except Sunday,575,1450,39.7%
228,C052,CADMIUM,2ml.(1ml. Minimum)WB-EDTA / WB-HEPARIN,Refrigerated(2-8°C),,Spectrophotom etry,4.30 PM,3rd Working Day,1050,2050,51.2%
229,C083,CALCITONIN,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)/ELISA",4.30 PM,Next day Evening Except Sunday,1050,2250,46.7%
230,C054,CALCIUM,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Overnight fasting
(10-12 Hrs) is preferred.",Chemiluminisc ence,5.30 PM,Same Day,60,150,40.0%
231,C055,CALCIUM 24 Hrs. URINE,"20 ml. (10 ml. Minimum)
sterile, 24 Hour container. aliquot of urine in a
screw capped , Record 24",Refrigerated(2-8°C),Do Not Freeze,Chemiluminisc ence,5.30 PM,Same Day,100,250,40.0%
232,C190,CALCIUM IONIZED,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Overnight fasting
(10-12 Hrs) is preferred.",Ion Selective Electrode,5.30 PM,Same Day,230,550,41.8%
233,C1314,CALCIUM URINE SPOT,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,Chemiluminisc ence,5.30 PM,Same Day,60,150,40.0%
234,C279,CALCIUM/CREATNINE RATIO SPOT URINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,Chemiluminisc ence,5.30 PM,Same Day,115,250,46.0%
235,C056,CARBAMAZEPINE (TEGRETOL/MAZETOL/CARBATOL),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Immunoturbo metry,4.30 PM,Next day Evening Except Sunday,375,950,39.5%
